
1,-15.0,-15.0,-15.0,-15.0
2,-20.0,-12.9,-19.1,-13.5
3,-25.8,-24.200000000000003,-27.1,-30.1
4,-27.5,-32.1,-39.1,-39.900000000000006
5,-29.200000000000003,-42.0,-49.2,-37.900000000000006
6,-39.2,-54.900000000000006,-51.800000000000004,-59.2
7,-49.2,-61.800000000000004,-65.0,-69.2
8,-59.2,-71.8,-72.2,-78.9
9,-69.10000000000001,-81.80000000000001,-80.5,-88.9
10,-79.10000000000001,-84.80000000000001,-91.30000000000001,-99.0
11,-89.2,-96.80000000000001,-99.30000000000001,-108.9
12,-99.0,-106.80000000000001,-73.2,-118.9
13,-74.0,-99.80000000000001,-116.80000000000001,-129.0
14,-111.0,-109.80000000000001,-126.9,-139.1
15,-119.9,-121.10000000000001,-137.0,-149.20000000000002
16,-120.5,-121.80000000000001,-134.8,-159.20000000000002
17,-123.0,-128.6,-144.6,-169.20000000000002
18,-131.0,-141.4,-157.60000000000002,-179.20000000000002
19,-143.0,-142.20000000000002,-167.60000000000002,-189.3
20,-148.8,-153.0,-156.70000000000002,-199.3
21,-151.70000000000002,-163.0,-166.70000000000002,-209.10000000000002
22,-150.20000000000002,-173.0,-188.70000000000002,-215.4
23,-148.20000000000002,-183.0,-198.70000000000002,-221.8
24,-178.3,-183.8,-208.8,-227.10000000000002
25,-188.3,-184.3,-218.60000000000002,-227.70000000000002
26,-184.8,-198.4,-228.70000000000002,-219.8
27,-182.20000000000002,-208.5,-243.10000000000002,-238.5
28,-185.60000000000002,-205.3,-239.10000000000002,-253.10000000000002
29,-195.3,-219.3,-245.70000000000002,-263.2
30,-196.0,-220.0,-257.6,-273.2
31,-206.0,-222.0,-256.6,-283.2
32,-206.70000000000002,-240.0,-268.6,-273.3
33,-207.60000000000002,-240.9,-278.7,-283.1
34,-217.60000000000002,-246.9,-288.7,-304.1
35,-227.70000000000002,-261.0,-298.3,-313.90000000000003
36,-237.70000000000002,-271.1,-308.3,-314.8
37,-247.5,-281.1,-324.70000000000005,-305.40000000000003
38,-245.8,-291.1,-319.20000000000005,-334.6
39,-263.8,-301.1,-329.20000000000005,-344.6
40,-273.8,-311.1,-339.20000000000005,-354.6
41,-283.90000000000003,-321.20000000000005,-349.0,-364.40000000000003
42,-293.90000000000003,-331.20000000000005,-358.8,-374.40000000000003
